iter	Passed	Remaining
0	176	176071
1	177	88613
2	178	59429
3	180	44881
4	181	36107
5	182	30258
6	183	26089
7	185	22964
8	188	20706
9	189	18718
10	190	17105
11	191	15747
12	192	14596
13	193	13610
14	194	12758
15	195	12005
16	196	11351
17	197	10764
18	198	10238
19	199	9768
20	200	9340
21	202	9008
22	203	8662
23	205	8338
24	206	8039
25	207	7767
26	208	7513
27	209	7274
28	210	7051
29	211	6844
30	212	6648
31	213	6464
32	214	6293
33	217	6169
34	218	6024
35	219	5878
36	220	5737
37	221	5605
38	222	5480
39	223	5361
40	224	5247
41	225	5140
42	226	5040
43	227	4941
44	228	4848
45	229	4758
46	231	4696
47	232	4614
48	233	4536
49	234	4459
50	235	4386
51	236	4316
52	237	4248
53	238	4183
54	239	4120
55	240	4061
56	241	4002
57	242	3945
58	243	3890
59	245	3848
60	247	3805
61	248	3756
62	249	3707
63	250	3659
64	251	3613
65	252	3569
66	253	3526
67	254	3484
68	255	3443
69	256	3404
70	257	3365
71	258	3327
72	259	3301
73	261	3275
74	262	3239
75	263	3205
76	264	3171
77	265	3139
78	266	3107
79	267	3076
80	268	3046
81	269	3016
82	270	2984
83	271	2957
84	272	2930
85	273	2903
86	274	2879
87	276	2863
88	277	2838
89	278	2813
90	279	2788
91	280	2765
92	281	2742
93	282	2719
94	283	2697
95	284	2675
96	285	2654
97	286	2633
98	287	2613
99	288	2595
100	289	2578
101	291	2566
102	292	2547
103	293	2528
104	294	2509
105	295	2491
106	296	2473
107	297	2455
108	298	2438
109	299	2422
110	300	2405
111	301	2389
112	302	2374
113	303	2359
114	305	2348
115	306	2335
116	307	2318
117	308	2304
118	309	2289
119	310	2275
120	311	2261
121	312	2246
122	313	2232
123	314	2218
124	315	2205
125	316	2195
126	317	2182
127	318	2169
128	320	2164
129	321	2153
130	322	2140
131	323	2128
132	324	2116
133	325	2104
134	326	2092
135	327	2081
136	328	2069
137	329	2058
138	330	2047
139	331	2036
140	332	2026
141	333	2014
142	335	2011
143	336	2001
144	337	1991
145	338	1981
146	339	1971
147	340	1961
148	341	1951
149	342	1941
150	343	1932
151	344	1923
152	345	1914
153	346	1905
154	347	1896
155	349	1888
156	351	1889
157	352	1880
158	354	1872
159	355	1863
160	355	1853
161	356	1845
162	357	1836
163	358	1828
164	359	1821
165	360	1813
166	361	1804
167	362	1796
168	363	1789
169	365	1786
170	366	1779
171	368	1771
172	369	1764
173	369	1756
174	370	1748
175	371	1741
176	373	1734
177	374	1728
178	375	1722
179	376	1716
180	378	1710
181	379	1704
182	381	1702
183	382	1696
184	383	1689
185	384	1683
186	385	1677
187	387	1671
188	388	1665
189	389	1659
190	390	1653
191	391	1648
192	392	1642
193	394	1636
194	396	1636
195	397	1631
196	398	1625
197	399	1619
198	400	1613
199	402	1609
200	403	1604
201	404	1599
202	406	1594
203	407	1589
204	408	1584
205	411	1585
206	412	1580
207	413	1575
208	414	1569
209	415	1564
210	417	1559
211	418	1554
212	419	1549
213	420	1544
214	421	1539
215	422	1535
216	424	1530
217	426	1530
218	427	1525
219	428	1520
220	430	1516
221	431	1511
222	432	1507
223	433	1503
224	435	1498
225	436	1494
226	437	1489
227	438	1485
228	441	1487
229	442	1482
230	443	1477
231	445	1473
232	446	1469
233	447	1464
234	448	1460
235	449	1456
236	451	1452
237	452	1447
238	453	1443
239	454	1440
240	456	1438
241	458	1434
242	459	1431
243	460	1427
244	462	1424
245	464	1422
246	465	1419
247	466	1415
248	468	1412
249	472	1416
250	476	1421
251	478	1419
252	479	1415
253	480	1411
254	482	1409
255	484	1407
256	486	1406
257	487	1403
258	491	1406
259	493	1403
260	495	1402
261	497	1401
262	502	1407
263	503	1404
264	505	1401
265	506	1397
266	507	1394
267	509	1390
268	510	1387
269	511	1383
270	513	1380
271	515	1380
272	517	1377
273	518	1373
274	519	1369
275	520	1366
276	522	1362
277	523	1358
278	524	1355
279	527	1357
280	530	1358
281	534	1360
282	536	1358
283	537	1355
284	538	1351
285	540	1348
286	541	1345
287	542	1341
288	543	1338
289	547	1340
290	549	1338
291	550	1335
292	552	1332
293	553	1328
294	554	1324
295	555	1320
296	556	1317
297	557	1312
298	558	1308
299	559	1305
300	562	1307
301	564	1304
302	565	1301
303	566	1297
304	567	1294
305	568	1290
306	569	1286
307	570	1282
308	571	1278
309	572	1275
310	573	1271
311	578	1274
312	579	1271
313	580	1268
314	581	1264
315	582	1261
316	583	1257
317	584	1254
318	585	1250
319	586	1246
320	587	1243
321	588	1239
322	590	1236
323	593	1238
324	595	1235
325	596	1232
326	597	1228
327	598	1225
328	599	1222
329	600	1218
330	601	1215
331	602	1211
332	603	1208
333	604	1205
334	608	1207
335	609	1204
336	610	1200
337	611	1197
338	612	1194
339	613	1191
340	614	1187
341	615	1184
342	616	1181
343	617	1177
